Date,Vehicle body type,Motive power,MAI Insurance class,TPI Insurance class,Count
07/01/2015 12:00:00 AM,AMBULANCE,Diesel,Organisation,Ambulance,33
07/01/2015 12:00:00 AM,AMBULANCE,Diesel,Person,Ambulance,1
07/01/2015 12:00:00 AM,AMBULANCE,Diesel,Organisation,Goods vehicles up to 4500kg GVM,1
07/01/2015 12:00:00 AM,ARMOURED VEHICLE,Diesel,Organisation,Goods vehicles over 4500kg GVM,8
07/01/2015 12:00:00 AM,ARMOURED VEHICLE,Diesel,Organisation,Passenger Vehicle,1
07/01/2015 12:00:00 AM,ARMOURED VEHICLE,Diesel,Organisation,Police Vehicle,4
07/01/2015 12:00:00 AM,ARTICULATED BUS,Diesel,Organisation,Bus or tourist vehicle Seating 17 or more (including Driver),35
07/01/2015 12:00:00 AM,BACKHOE,Diesel,Organisation,Goods vehicles over 4500kg GVM,3
07/01/2015 12:00:00 AM,BACKHOE,Diesel,Person,Miscellaneous,6
07/01/2015 12:00:00 AM,BACKHOE,Diesel,Organisation,Miscellaneous,15
07/01/2015 12:00:00 AM,BACKHOE,Diesel,Person,Goods vehicles over 4500kg GVM,3
07/01/2015 12:00:00 AM,BIKE TRAILER,,Person,Trailer,301
07/01/2015 12:00:00 AM,BIKE TRAILER,,Organisation,Trailer,12
07/01/2015 12:00:00 AM,BIN CARRIER,Diesel,Organisation,Fire Fighting,2
07/01/2015 12:00:00 AM,BIN CARRIER,Diesel,Organisation,Passenger Vehicle,2
07/01/2015 12:00:00 AM,BIN CARRIER,Diesel,Person,Goods vehicles over 4500kg GVM,5
07/01/2015 12:00:00 AM,BIN CARRIER,Diesel,Person,Passenger Vehicle,1
07/01/2015 12:00:00 AM,BIN CARRIER,Diesel,Organisation,Goods vehicles over 4500kg GVM,42
07/01/2015 12:00:00 AM,BIN CARRIER,,Organisation,Trailer,5
07/01/2015 12:00:00 AM,BOAT TRAILER,,Organisation,Trailer,180
07/01/2015 12:00:00 AM,BOAT TRAILER,,Person,Trailer,5056
07/01/2015 12:00:00 AM,BONNET PRIME MOVER,Diesel,Organisation,Goods vehicles over 4500kg GVM,55
07/01/2015 12:00:00 AM,BONNET PRIME MOVER,Diesel,Person,Goods vehicles over 4500kg GVM,23
07/01/2015 12:00:00 AM,CAB OVER PRIME MOVER,Diesel,Person,Goods vehicles over 4500kg GVM,16
07/01/2015 12:00:00 AM,CAB OVER PRIME MOVER,Diesel,Organisation,Goods vehicles over 4500kg GVM,52
07/01/2015 12:00:00 AM,CAMPER,Diesel,Person,Goods vehicles up to 4500kg GVM,3
07/01/2015 12:00:00 AM,CAMPER,Diesel,Organisation,Passenger Vehicle,22
07/01/2015 12:00:00 AM,CAMPER,Diesel,Person,Passenger Vehicle,220
07/01/2015 12:00:00 AM,CAMPER,Diesel,Organisation,Police Vehicle,1
07/01/2015 12:00:00 AM,CAMPER,Diesel Or Lpg Option,Person,Passenger Vehicle,1
07/01/2015 12:00:00 AM,CAMPER,LPG,Person,Passenger Vehicle,2
07/01/2015 12:00:00 AM,CAMPER,Petrol,Person,Historic,1
07/01/2015 12:00:00 AM,CAMPER,Petrol,Person,Goods vehicles up to 4500kg GVM,2
07/01/2015 12:00:00 AM,CAMPER,Petrol,Organisation,Passenger Vehicle,8
07/01/2015 12:00:00 AM,CAMPER,Petrol,Person,Passenger Vehicle,137
07/01/2015 12:00:00 AM,CAMPER,Petrol Or Lpg Option,Person,Passenger Vehicle,10
07/01/2015 12:00:00 AM,CAMPER TRAILER,,Organisation,Trailer,10
07/01/2015 12:00:00 AM,CAMPER TRAILER,,Person,Trailer,1310
07/01/2015 12:00:00 AM,CAR CARRIER,Diesel,Organisation,Goods vehicles over 4500kg GVM,1
07/01/2015 12:00:00 AM,CAR CARRIER,,Organisation,Trailer,11
07/01/2015 12:00:00 AM,CAR CARRIER,,Person,Trailer,1
07/01/2015 12:00:00 AM,CAR TRAILER,,Organisation,Trailer,83
07/01/2015 12:00:00 AM,CAR TRAILER,,Person,Trailer,652
07/01/2015 12:00:00 AM,CARAVAN,,Organisation,Trailer,139
07/01/2015 12:00:00 AM,CARAVAN,,Person,Trailer,2522
07/01/2015 12:00:00 AM,CONCRETE BLENDER,Diesel,Person,Goods vehicles over 4500kg GVM,11
07/01/2015 12:00:00 AM,CONCRETE BLENDER,Diesel,Organisation,Passenger Vehicle,1
07/01/2015 12:00:00 AM,CONCRETE BLENDER,Diesel,Organisation,Goods vehicles over 4500kg GVM,60
07/01/2015 12:00:00 AM,CONCRETE BLENDER,Petrol,Person,Passenger Vehicle,1
07/01/2015 12:00:00 AM,CONCRETE BLENDER,Petrol,Organisation,Goods vehicles over 4500kg GVM,1
07/01/2015 12:00:00 AM,CONCRETE PUMPER,Diesel,Organisation,Miscellaneous,7
07/01/2015 12:00:00 AM,CONCRETE PUMPER,Diesel,Person,Miscellaneous,2
07/01/2015 12:00:00 AM,CONCRETE PUMPER,Diesel,Organisation,Goods vehicles over 4500kg GVM,7
07/01/2015 12:00:00 AM,CONVERTIBLE,Diesel,Person,Passenger Vehicle,85
07/01/2015 12:00:00 AM,CONVERTIBLE,Diesel,Organisation,Passenger Vehicle,10
07/01/2015 12:00:00 AM,CONVERTIBLE,LPG,Person,Passenger Vehicle,1
07/01/2015 12:00:00 AM,CONVERTIBLE,Petrol,Organisation,Passenger Vehicle,201
07/01/2015 12:00:00 AM,CONVERTIBLE,Petrol,Person,Historic,116
07/01/2015 12:00:00 AM,CONVERTIBLE,Petrol,Organisation,Historic,1
07/01/2015 12:00:00 AM,CONVERTIBLE,Petrol,Person,Passenger Vehicle,1698
07/01/2015 12:00:00 AM,CONVERTIBLE,Petrol,Person,Veteran,5
07/01/2015 12:00:00 AM,CONVERTIBLE,Petrol,Person,Goods vehicles up to 4500kg GVM,1
07/01/2015 12:00:00 AM,CONVERTIBLE,Petrol,Person,Vintage,30
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,CNG,Organisation,Goods vehicles over 4500kg GVM,2
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,Diesel,Organisation,Goods vehicles over 4500kg GVM,50
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,Diesel,Organisation,Passenger Vehicle,3
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,Diesel,Person,Passenger Vehicle,2
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,Diesel,Organisation,Break Down Vehicle,1
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,Diesel,Person,Goods vehicles over 4500kg GVM,7
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,,Person,Trailer,10
07/01/2015 12:00:00 AM,CURTAIN SIDE VAN,,Organisation,Trailer,40
07/01/2015 12:00:00 AM,DOLLY,,Organisation,Trailer,1
