"DIVISION_NAME","bbq_ELECTRIC","bbq_WOOD","bbq_GAS","bbq_sum"
"ACTON",9,0,0,9
"AINSLIE",1,0,0,1
"AMAROO",1,0,0,1
"BARTON",6,0,0,6
"BELCONNEN",15,0,0,15
"BELCONNEN (RURAL DIST.)",1,0,0,1
"BONNER",2,0,0,2
"BONYTHON",2,0,0,2
"BOOTH (RURAL DIST.)",0,4,0,4
"BRADDON",2,0,0,2
"CAMPBELL",3,0,0,3
"CANBERRA CENTRAL (RURAL DIST.)",0,0,1,1
"CASEY",1,0,0,1
"CHIFLEY",1,0,0,1
"CITY",3,0,0,3
"COOK",1,0,0,1
"COREE (RURAL DIST.)",12,48,3,63
"COTTER RIVER (RURAL DIST.)",0,4,1,5
"CRACE",1,0,0,1
"DUNLOP",1,0,0,1
"FADDEN",4,0,0,4
"FISHER",1,0,0,1
"FORDE",5,0,0,5
"FRANKLIN",3,0,0,3
"FYSHWICK",2,0,0,2
"GOOGONG (RURAL DIST.)",2,0,7,9
"GORDON",3,0,0,3
"GREENWAY",16,0,0,16
"GUNGAHLIN",7,0,0,7
"HALL",2,0,0,2
"HARRISON",1,0,0,1
"HUGHES",0,1,0,1
"KAMBAH",8,0,0,8
"KINGSTON",1,0,0,1
"KOWEN (RURAL DIST.)",0,3,4,7
"LATHAM",1,0,0,1
"MOLONGLO VALLEY (RURAL DIST.)",2,0,0,2
"MONCRIEFF",2,0,0,2
"MOUNT CLEAR (RURAL DIST.)",0,9,0,9
"NEW SOUTH WALES",0,4,0,4
"NICHOLLS",1,0,0,1
"OAKS ESTATE",1,0,0,1
"PADDYS RIVER (RURAL DIST.)",23,34,6,63
"PHILLIP",2,0,0,2
"RENDEZVOUS CREEK (RURAL DIST.)",0,16,3,19
"RIVETT",1,0,0,1
"STROMLO (RURAL DIST.)",6,7,0,13
"TENNENT (RURAL DIST.)",0,10,1,11
"THARWA",0,0,1,1
"TURNER",1,0,0,1
"WESTON",1,0,0,1
"WHITLAM",1,0,0,1
"WRIGHT",1,0,0,1
"YARRALUMLA",9,0,4,13
