"DIVISION_NAME","bb_SINGLE COURT","bb_DOUBLE COURT","bb_HALF COURT","bb_4 WAY HOOP","bb_sum"
"AINSLIE",1,0,0,0,1
"BELCONNEN",0,1,0,0,1
"BONYTHON",0,0,1,0,1
"CHARNWOOD",0,0,0,1,1
"CHIFLEY",0,0,1,0,1
"CHISHOLM",0,0,1,0,1
"CITY",0,0,1,0,1
"DEAKIN",1,0,1,0,2
"DUFFY",0,0,1,0,1
"DUNLOP",0,0,1,0,1
"EVATT",0,0,1,0,1
"FLYNN",1,0,0,0,1
"FORDE",0,0,2,0,2
"GORDON",1,0,0,0,1
"GREENWAY",0,0,1,0,1
"GUNGAHLIN",1,0,0,0,1
"HACKETT",0,0,1,0,1
"HARRISON",0,0,1,0,1
"KAMBAH",0,0,1,5,6
"KINGSTON",0,0,1,0,1
"LYNEHAM",0,1,0,0,1
"LYONS",0,0,0,1,1
"MACARTHUR",1,0,0,0,1
"MACGREGOR",0,0,1,0,1
"MONASH",0,0,1,0,1
"NARRABUNDAH",1,0,0,0,1
"NGUNNAWAL",0,0,1,0,1
"NICHOLLS",1,0,0,0,1
"O'CONNOR",1,0,0,0,1
"OAKS ESTATE",0,0,0,1,1
"PADDYS RIVER (RURAL DIST.)",0,0,1,0,1
"PHILLIP",0,0,1,0,1
"THROSBY",1,0,0,0,1
"TORRENS",0,0,1,0,1
"WANNIASSA",0,0,1,0,1
"WARAMANGA",0,0,2,0,2
"WESTON",0,0,1,0,1
"WHITLAM",0,0,1,0,1
"WRIGHT",0,1,0,0,1
