"ID","DIVISION_NAME","LOCATION_DESCRIPTION","TYPE","long","lat","OBJECT","nn"
"BBQ517","GREENWAY","PINE ISLAND CETRAL","ELECTRIC",149.061549073516,-35.4274529997759,"Barbeque",1
"BBQ518","GREENWAY","PINE ISLAND RESERVE","ELECTRIC",149.061550695514,-35.4274428330455,"Barbeque",1
"BBQ105","CAMPBELL","REMEMBERANCE PARK","ELECTRIC",149.150923934327,-35.279962744004,"Barbeque",1
"BBQ106","CAMPBELL","REMEMBERANCE PARK","ELECTRIC",149.150987712368,-35.2793164740274,"Barbeque",1
"BBQ21","ACTON","BLACK MOUNTAIN PENINSULA DISTRICT PARK","ELECTRIC",149.101336727048,-35.2871416914529,"Barbeque",1
"BBQ23","ACTON","BLACK MOUNTAIN PENINSULA DISTRICT PARK","ELECTRIC",149.100008868713,-35.2916438044498,"Barbeque",1
"BBQ485","ACTON","BLACK MOUNTAIN PENINSULA DISTRICT PARK","ELECTRIC",149.101174694625,-35.2924322574418,"Barbeque",1
"BBQ424","ACTON","BLACK MOUNTAIN PENINSULA DISTRICT PARK","ELECTRIC",149.101148240648,-35.2924159294993,"Barbeque",1
"BBQ514","PHILLIP","EDISON DISTRICT PARK","ELECTRIC",149.091686480458,-35.3411196007755,"Barbeque",1
"BBQ94","FADDEN","FADDEN PINES DISTRICT PARK","ELECTRIC",149.119394978039,-35.4109125887582,"Barbeque",1
"BBQ96","FADDEN","FADDEN PINES DISTRICT PARK","ELECTRIC",149.120003618255,-35.4104207681472,"Barbeque",1
"BBQ98","FADDEN","FADDEN PINES DISTRICT PARK","ELECTRIC",149.12028228502,-35.4116675699173,"Barbeque",1
"BBQ95","FADDEN","FADDEN PINES DISTRICT PARK","ELECTRIC",149.121057278211,-35.4113040757744,"Barbeque",1
"BBQ431","WRIGHT","DOT BUTLER STREET NEIGHBOURHOOD PARK","ELECTRIC",149.037221044787,-35.3243977922042,"Barbeque",1
"BBQ486","KINGSTON","NORGROVE NEIGHBOURHOOD PARK","ELECTRIC",149.146750379533,-35.3150166471605,"Barbeque",1
"BBQ483","GUNGAHLIN","GUNGAHLIN SPORTSGROUND","ELECTRIC",149.126278303108,-35.1850609842946,"Barbeque",1
"BBQ441","ACTON","ACTON PARK DISTRICT PARK","ELECTRIC",149.124751958774,-35.2863104715162,"Barbeque",1
"BBQ442","ACTON","ACTON PARK DISTRICT PARK","ELECTRIC",149.124417529672,-35.2861935419725,"Barbeque",1
"BBQ443","BELCONNEN","JOHN KNIGHT MEMORIAL PARK","ELECTRIC",149.073354651298,-35.2343844401542,"Barbeque",1
"BBQ444","BELCONNEN","JOHN KNIGHT MEMORIAL PARK","ELECTRIC",149.07336564358,-35.2347532705635,"Barbeque",1
"BBQ519","ACTON","HENRY ROLLAND PARK","ELECTRIC",149.126403822819,-35.2898828021209,"Barbeque",1
"BBQ505","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","ELECTRIC",149.121081391808,-35.1551673915005,"Barbeque",1
"BBQ506","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","ELECTRIC",149.121158008093,-35.1552299811635,"Barbeque",1
"BBQ247","GREENWAY","PINE ISLAND CENTRAL","ELECTRIC",149.060190214471,-35.4275496053316,"Barbeque",1
