"DIVISION_NAME","playground_PLAYGROUND_TYPE_DISTRICT","playground_PLAYGROUND_TYPE_CENTRAL COMMUNITY","playground_PLAYGROUND_TYPE_LOCAL NEIGHBOURHOOD","playground_PLAYGROUND_TYPE_LOCAL NEIGHBOURHOOD NATURAL","playground_PLAYGROUND_TYPE_RURAL","playground_PLAYGROUND_TYPE_sum","playground_PARKING_DISABLED PARKING","playground_PARKING_NONE","playground_PARKING_CARPARK","playground_PARKING_OFF STREET","playground_PARKING_UNIDENTIFIED","playground_PARKING_ON STREET","playground_PARKING_sum","playground_SHADE_LEVEL_GOOD","playground_SHADE_LEVEL_FAIR","playground_SHADE_LEVEL_NONE","playground_SHADE_LEVEL_POOR","playground_SHADE_LEVEL_UNIDENTIFIED","playground_SHADE_LEVEL_MODERATE","playground_SHADE_LEVEL_SURROUNDING TREES","playground_SHADE_LEVEL_SHADE STRUCTURE ADJACENT","playground_SHADE_LEVEL_sum","playground_sail_shade_YES","playground_sail_shade_NO","playground_sail_shade_sum","playground_tree_shade_YES","playground_tree_shade_NO","playground_tree_shade_sum","playground_shelter_shade_YES","playground_shelter_shade_NO","playground_shelter_shade_sum"
"ACTON",1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
"AINSLIE",0,1,4,0,0,5,0,5,0,0,0,0,5,3,2,0,0,0,0,0,0,5,0,5,5,5,0,5,0,5,5
"AMAROO",0,1,5,0,0,6,0,4,2,0,0,0,6,1,4,1,0,0,0,0,0,6,0,6,6,5,1,6,1,5,6
"ARANDA",0,0,4,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,4,0,4,0,4,4
"BANKS",0,0,3,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,3,0,3,0,3,3
"BARTON",1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
"BELCONNEN",3,0,4,0,0,7,0,5,2,0,0,0,7,3,4,0,0,0,0,0,0,7,0,7,7,7,0,7,0,7,7
"BONNER",0,0,6,0,0,6,0,1,1,2,2,0,6,2,0,1,1,2,0,0,0,6,0,6,6,1,5,6,3,3,6
"BONYTHON",0,1,3,0,0,4,0,4,0,0,0,0,4,0,1,1,2,0,0,0,0,4,0,4,4,3,1,4,0,4,4
"BRADDON",0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1
"BRUCE",0,0,5,0,0,5,0,5,0,0,0,0,5,1,2,1,1,0,0,0,0,5,0,5,5,4,1,5,0,5,5
"CALWELL",0,0,6,0,0,6,0,5,1,0,0,0,6,1,2,0,3,0,0,0,0,6,0,6,6,5,1,6,0,6,6
"CAMPBELL",0,0,6,0,0,6,0,5,0,0,1,0,6,0,5,1,0,0,0,0,0,6,0,6,6,5,1,6,0,6,6
"CASEY",0,0,6,0,0,6,0,0,3,0,2,1,6,1,0,0,0,5,0,0,0,6,0,6,6,0,6,6,1,5,6
"CHAPMAN",0,1,4,0,0,5,0,4,1,0,0,0,5,1,3,0,1,0,0,0,0,5,0,5,5,5,0,5,0,5,5
"CHARNWOOD",0,0,6,0,0,6,0,4,2,0,0,0,6,1,5,0,0,0,0,0,0,6,0,6,6,6,0,6,0,6,6
"CHIFLEY",0,1,1,0,0,2,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,2,2,1,1,2,1,1,2
"CHISHOLM",0,0,7,0,0,7,0,6,1,0,0,0,7,3,2,1,1,0,0,0,0,7,0,7,7,6,1,7,0,7,7
"CITY",0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1
"CONDER",0,1,4,0,0,5,0,5,0,0,0,0,5,1,2,1,1,0,0,0,0,5,0,5,5,4,1,5,0,5,5
"COOK",0,1,5,0,0,6,0,5,1,0,0,0,6,2,4,0,0,0,0,0,0,6,0,6,6,6,0,6,1,5,6
"COOMBS",0,0,4,0,0,4,0,3,1,0,0,0,4,1,2,0,0,0,1,0,0,4,3,1,4,0,4,4,1,3,4
