"CREATED_DATE","SPECIES","LATITUDE","LONGITUDE","index","dist","ID","DIVISION_CODE","DIVISION_NAME","LAST_UPDATE_DATE","OBJECTID","date","hour","moment","month","day","year","month_word","day_word","week","time_hour","pod","speciesGroup"
"03/29/2016 07:15:00 PM","MAGPIES",-35.44026817,148.9427581,80,13896.9505807999,83,601,"KAMBAH","1999/02/19 09:47:44+00",80,"03/29/2016","07:15:00","PM",3,29,2016,"March","Tuesday",13,19,"Evening","Bird"
"05/26/2016 02:22:00 PM","OTHER",-35.32635268,149.1312516,49,0,47,220,"GRIFFITH","1999/02/19 09:46:25+00",49,"05/26/2016","02:22:00","PM",5,26,2016,"May","Thursday",22,14,"Afternoon","Other"
"05/30/2016 01:52:00 PM","WOMBAT",-35.5991279,149.0530339,70,12319.330444253,71,659,"THARWA","1999/02/19 09:47:44+00",70,"05/30/2016","01:52:00","PM",5,30,2016,"May","Monday",22,13,"Noon","Mammal"
"08/02/2016 01:59:00 PM","GALAH",-35.34719227,149.0346627,91,0,94,445,"RIVETT","1999/02/19 09:46:25+00",91,"08/02/2016","01:59:00","PM",8,2,2016,"August","Tuesday",31,13,"Noon","Bird"
"09/03/2016 02:09:00 PM","WOMBAT",-35.39817799,149.0706151,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78,"09/03/2016","02:09:00","PM",9,3,2016,"September","Saturday",36,14,"Afternoon","Mammal"
"01/15/2017 07:27:00 AM","OTHER",-35.22348601,149.1344958,11,0,552,701,"MITCHELL","2006/10/31 09:50:38+00",11,"01/15/2017","07:27:00","AM",1,15,2017,"January","Sunday",3,7,"Morning","Other"
"02/03/2017 10:11:00 AM","WALLAROO",-35.36368414,149.1207214,100,68.0509998151256,701,336,"ISAACS","2018/10/24 10:28:48+00",100,"02/03/2017","10:11:00","AM",2,3,2017,"February","Friday",6,10,"Morning","Mammal"
"03/17/2017 09:00:00 AM","OTHER",-35.38047572,149.0658189,80,0,83,601,"KAMBAH","1999/02/19 09:47:44+00",80,"03/17/2017","09:00:00","AM",3,17,2017,"March","Friday",12,9,"Morning","Other"
"09/22/2017 01:29:00 PM","BROWN SNAKE",-35.3147108,149.1419529,51,0,146,217,"KINGSTON","2003/02/19 10:24:38+00",51,"09/22/2017","01:29:00","PM",9,22,2017,"September","Friday",39,13,"Noon","Snake"
"09/27/2017 10:35:00 AM","WOMBAT",-35.29519461,149.062153,5,1444.95317081635,665,913,"MOLONGLO","2013/03/25 08:56:56+00",5,"09/27/2017","10:35:00","AM",9,27,2017,"September","Wednesday",39,10,"Morning","Mammal"
"01/25/2018 02:36:00 PM","BROWN SNAKE",-35.20745492,149.1209069,113,659.497721359681,626,712,"CRACE","2010/10/20 12:10:54+00",113,"01/25/2018","02:36:00","PM",1,25,2018,"January","Thursday",4,14,"Afternoon","Snake"
"04/07/2018 12:07:00 PM","OTHER",-35.35304545,149.0634476,93,0,96,442,"WARAMANGA","1999/02/19 09:46:25+00",93,"04/07/2018","12:07:00","PM",4,7,2018,"April","Saturday",15,24,"Mid-Night","Other"
"04/18/2018 09:07:00 AM","WOMBAT",-35.28120338,149.0186346,6,369.20303861709,664,912,"DENMAN PROSPECT","2013/03/25 08:56:33+00",6,"04/18/2018","09:07:00","AM",4,18,2018,"April","Wednesday",16,9,"Morning","Mammal"
"08/01/2018 12:32:00 PM","WALLAROO",-35.23562528,149.1082102,26,0,24,553,"KALEEN","1999/02/19 09:47:11+00",26,"08/01/2018","12:32:00","PM",8,1,2018,"August","Wednesday",31,24,"Mid-Night","Mammal"
"09/20/2018 11:15:00 AM","WOMBAT",-35.26894103,149.0739197,18,670.434646615296,14,557,"COOK","1999/02/19 09:47:11+00",18,"09/20/2018","11:15:00","AM",9,20,2018,"September","Thursday",38,11,"Noon","Mammal"
